{'index': 1, 'id': 'P10', 'condition': 'D2', 'pcd': 'aaraw_scene0059_01_2Anno.ply', 'time': '2023-04-24 22:38:02.112129', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 298.6000000000029, 'rot_y': 0.0, 'rot_z': 249.80000000000317, 'trans_x': -1.4629437303412067, 'trans_y': -2.248991506371489, 'trans_z': -11.274229132835886}
{'index': 2, 'id': 'P10', 'condition': 'D2', 'pcd': 'cabinet_VILAL_SLONE_class2_scene0059_01_2Anno.ply', 'time': '2023-04-24 22:38:04.484494', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 298.6000000000029, 'rot_y': 0.0, 'rot_z': 249.80000000000317, 'trans_x': -1.4629437303412067, 'trans_y': -2.248991506371489, 'trans_z': -11.274229132835886}
{'index': 3, 'id': 'P10', 'condition': 'D2', 'pcd': 'chair_VILAL_SLONE_class4_scene0059_01_2Anno.ply', 'time': '2023-04-24 22:38:08.809223', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 298.6000000000029, 'rot_y': 0.0, 'rot_z': 249.80000000000317, 'trans_x': -1.4629437303412067, 'trans_y': -2.248991506371489, 'trans_z': -11.274229132835886}
{'index': 4, 'id': 'P10', 'condition': 'D2', 'pcd': 'door_VILAL_SLONE_class7_scene0059_01_2Anno.ply', 'time': '2023-04-24 22:38:09.459594', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 298.6000000000029, 'rot_y': 0.0, 'rot_z': 249.80000000000317, 'trans_x': -1.4629437303412067, 'trans_y': -2.248991506371489, 'trans_z': -11.274229132835886}
{'index': 5, 'id': 'P10', 'condition': 'D2', 'pcd': 'floor_VILAL_SLONE_class0_scene0059_01_2Anno.ply', 'time': '2023-04-24 22:38:09.940374', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 298.6000000000029, 'rot_y': 0.0, 'rot_z': 249.80000000000317, 'trans_x': -1.4629437303412067, 'trans_y': -2.248991506371489, 'trans_z': -11.274229132835886}
{'index': 6, 'id': 'P10', 'condition': 'D2', 'pcd': 'refrigerator_VILAL_SLONE_class14_scene0059_01_2Anno.ply', 'time': '2023-04-24 22:38:11.046271', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 298.6000000000029, 'rot_y': 0.0, 'rot_z': 249.80000000000317, 'trans_x': -1.4629437303412067, 'trans_y': -2.248991506371489, 'trans_z': -11.274229132835886}
{'index': 7, 'id': 'P10', 'condition': 'D2', 'pcd': 'sofa_VILAL_SLONE_class5_scene0059_01_2Anno.ply', 'time': '2023-04-24 22:38:11.684317', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 298.6000000000029, 'rot_y': 0.0, 'rot_z': 249.80000000000317, 'trans_x': -1.4629437303412067, 'trans_y': -2.248991506371489, 'trans_z': -11.274229132835886}
{'index': 8, 'id': 'P10', 'condition': 'D2', 'pcd': 'table_VILAL_SLONE_class6_scene0059_01_2Anno.ply', 'time': '2023-04-24 22:38:12.246975', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 298.6000000000029, 'rot_y': 0.0, 'rot_z': 249.80000000000317, 'trans_x': -1.4629437303412067, 'trans_y': -2.248991506371489, 'trans_z': -11.274229132835886}
{'index': 9, 'id': 'P10', 'condition': 'D2', 'pcd': 'wall_VILAL_SLONE_class1_scene0059_01_2Anno.ply', 'time': '2023-04-24 22:38:12.965925', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 298.6000000000029, 'rot_y': 0.0, 'rot_z': 249.80000000000317, 'trans_x': -1.4629437303412067, 'trans_y': -2.248991506371489, 'trans_z': -11.274229132835886}
